licence_ref,description,lcensee_name,trading_name,address_1,address_2,address_3,county
1007854,Marked Fuel Trader's Licence                                                                        ,VALERO MARKETING IRELAND LTD,VALERO MARKETING IRELAND LTD,RAILWAY STREET,NA,NA,CO. CARLOW
1004264,Marked Fuel Trader's Licence                                                                        ,VALE OIL CO LTD,VALE OIL,TULLOW ROAD,CARLOW,NA,CO. CARLOW
1005052,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP CARLOW,BUNCLODY ROAD,TULLOW INDUSTRIAL ESTATE,TULLOW,CO. CARLOW
1005088,Marked Fuel Trader's Licence                                                                        ,TEDCASTLE OIL PRODUCTS,BENNEKERRY SERVICE STATION,BENNEKERRY,NA,NA,CO. CARLOW
1010057,Marked Fuel Trader's Licence                                                                        ,PATRICK REA,REA OIL,71 BROTHERTON,SLEATY ROAD,NA,CO. CARLOW
1005328,Marked Fuel Trader's Licence                                                                        ,PATRICK NOLAN,NOLANS XL,MYSHALL,NA,NA,CO. CARLOW
1011677,Marked Fuel Trader's Licence                                                                        ,O'TOOLES SERVICE STATION LIMITED,O'TOOLES SERVICE STATION,BUNCLODY ROAD,TULLOW,NA,CO. CARLOW
1013258,Marked Fuel Trader's Licence                                                                        ,MCCULLAGH'S SERVICE STATION LTD,NA,CHURCH STREET,BAGENALSTOWN,NA,CO. CARLOW
1005732,Marked Fuel Trader's Licence                                                                        ,MAURICE BOUTROS,CRETTYARD STORES &,CRETTYARD,NA,NA,CO. CARLOW
1004583,Marked Fuel Trader's Licence                                                                        ,KILLERIG OIL DISTRIBUTORS LTD,NA,DOWNINGS,TULLOW,NA,CO. CARLOW
1008897,Marked Fuel Trader's Licence                                                                        ,KEVIN NOLAN,NOLAN'S QUIK-PICK,ABBEY STREET,TULLOW,NA,CO. CARLOW
1005102,Marked Fuel Trader's Licence                                                                        ,JOSEPH & PATRICK FOLEY,BORRIS SERVICE STATION,FACTORY CROSS,BORRIS,NA,CO. CARLOW
1004964,Marked Fuel Trader's Licence                                                                        ,HENNESSYS FILLING STATION LTD,HENNESSYS FILLING STATION,PORTLAOISE ROAD,GRAIGUECULLEN,NA,CO. CARLOW
1005485,Marked Fuel Trader's Licence                                                                        ,GLANBIA FOODS IRELAND LTD,GLANBIA PLC,CRETTYARD,NA,NA,CO. CARLOW
1004474,Marked Fuel Trader's Licence                                                                        ,ERRANCOURT TRADERS LTD,NOLAN TYRES,MAIN STREET,BALLON,NA,CO. CARLOW
1004854,Marked Fuel Trader's Licence                                                                        ,EMO OIL LTD,MURPHY BROTHERS OIL,POLLERTON INDUSTRIAL ESTATE,NA,NA,CO. CARLOW
1012948,Marked Fuel Trader's Licence                                                                        ,EMO OIL LTD,GREAT GAS BAGENALSTOWN,KILREE ROAD,BAGENALSTOWN,NA,CO. CARLOW
1006360,Marked Fuel Trader's Licence                                                                        ,DUNNES COAL LTD,DUNNES COAL LTD,MONURE,KILLESHIN ROAD,NA,CO. CARLOW
1011214,Marked Fuel Trader's Licence                                                                        ,DRIVE FORECOURT SERVICES LIMITED,NA,SESKIN ROAD,LEIGHLINBRIDGE,NA,CO. CARLOW
1007906,Marked Fuel Trader's Licence                                                                        ,DOLMEN STORES LTD,NA,HACKETSTOWN ROAD,CARLOW,NA,CO. CARLOW
1005555,Marked Fuel Trader's Licence                                                                        ,DOBBS OIL LTD,DOBBS OIL LTD,INDUSTRIAL ESTATE,TULLOW,NA,CO. CARLOW
1003967,Marked Fuel Trader's Licence                                                                        ,DEVOY'S GARAGE LTD,DEVOY GARAGE LTD,TULLOW,NA,NA,CO. CARLOW
1015438,Marked Fuel Trader's Licence                                                                        ,CAMPUS OIL LTD,O'REILLY OIL & COAL,MARYBOROUGH STREET,GRAIGUECULLEN,NA,CO. CARLOW
1007068,Marked Fuel Trader's Licence                                                                        ,ASTRO VALLEY LTD,NA,KILREE,BAGENALSTOWN,NA,CO. CARLOW
1012458,Marked Fuel Trader's Licence                                                                        ,ARD SERVICES LTD,TOPAZ,TOPAZ RATHCROGUE,JUNCTION 5 M9,RATHCROGUE,CO. CARLOW
1006571,Marked Fuel Trader's Licence                                                                        ,WHITES OF LOCH GOWNA,WHITES OF LOCH GOWNA,LOCH GOWNA,NA,NA,CO. CAVAN
1014985,Marked Fuel Trader's Licence                                                                        ,TREVOR CARTWRIGHT,TEMPLEPORT STORES,CLONEARY,BAWNBOY,NA,CO. CAVAN
1003876,Marked Fuel Trader's Licence                                                                        ,THOMAS MCDERMOTT,LOSSET FARM SUPPLIES,LOSSET,CORLISMORE,BALLINAGH,CO. CAVAN
1006163,Marked Fuel Trader's Licence                                                                        ,THE STRAY SOD LIMITED,GALA DENNINGS,DRUMOURA,DRUNG,NA,CO. CAVAN
1014869,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS UNLIMITED COMPANY,TOP OIL,CAVAN ROAD,COOTEHILL,NA,CO. CAVAN
1004930,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP OIL CLOVERHILL,CLOVERHILL,BELTURBET,NA,CO. CAVAN
1005824,Marked Fuel Trader's Licence                                                                        ,SUNNYSIDE FILLING STATION LTD,SUNNYSIDE FILLING STATION LTD,KINGSCOURT ROAD,SHERCOCK,NA,CO. CAVAN
1004013,Marked Fuel Trader's Licence                                                                        ,STRADONE OIL CO LTD,STRADONE OIL CO LTD,TIERLAHOOD,STRADONE,NA,CO. CAVAN
1005885,Marked Fuel Trader's Licence                                                                        ,SPA SERVICE STATION LTD,SPA SERVICE STATION LTD,MAIN STREET,SWANLINBAR,NA,CO. CAVAN
1004160,Marked Fuel Trader's Licence                                                                        ,SKELLY OIL SERVICES LTD,SKELLY OIL SERVICES LTD,LISMEEN,BALLYJAMESDUFF,NA,CO. CAVAN
1011653,Marked Fuel Trader's Licence                                                                        ,SIRIO RETAIL OPERATIONS LIMITED,NA,KILCONNEY,BELTURBET,NA,CO. CAVAN
1003923,Marked Fuel Trader's Licence                                                                        ,SHARPMOUNT LTD,SHARPMOUNT LIMITED,BALLINAGH ROAD,CAVAN,NA,CO. CAVAN
1004754,Marked Fuel Trader's Licence                                                                        ,SEAMUS O'NEILL,O'NEILL'S DRUMALEE,DRUMALEE CROSS,DRUMALEE,CAVAN,CO. CAVAN
1005316,Marked Fuel Trader's Licence                                                                        ,RUDDEN SERVICE STATION LIMITED,RUDDEN SERVICE STATION LIMITED,RAILWAY ROAD,CAVAN,NA,CO. CAVAN
1004084,Marked Fuel Trader's Licence                                                                        ,ROE  OILS LTD,ROE OIL LTD,LISDRUMSKEAGH,SHERCOCK,NA,CO. CAVAN
1005207,Marked Fuel Trader's Licence                                                                        ,RAYMOND O'REILLY & SHARON REILLY,O'REILLYS,DRUMNORA,BALLYJAMESDUFF,NA,CO. CAVAN
1006185,Marked Fuel Trader's Licence                                                                        ,POLES CO-OPERATIVE CREAMERY LIMITED,NA,POLES,NA,NA,CO. CAVAN
1013958,Marked Fuel Trader's Licence                                                                        ,PETROGAS GROUP LTD,NA,RAKEELAN,BALLYCONNELL,NA,CO. CAVAN
1006591,Marked Fuel Trader's Licence                                                                        ,PATRICK M. YORE,YORES GARAGE,LISDUFF,VIRGINIA,NA,CO. CAVAN
1004164,Marked Fuel Trader's Licence                                                                        ,P J & K RETAIL LTD,ESSO MACE FILLING STATION,KILLYFINLA,BALLYJAMESDUFF,NA,CO. CAVAN
1004197,Marked Fuel Trader's Licence                                                                        ,P & S KEARNEY STORES LTD,P & S KEARNEY STORES LTD,RYEFIELD,VIRGINIA,NA,CO. CAVAN
1004226,Marked Fuel Trader's Licence                                                                        ,NIBECK LTD,NA,DUBLIN ROAD,KINGSCOURT,NA,CO. CAVAN
1012159,Marked Fuel Trader's Licence                                                                        ,MCPARTLAND FUELS LIMITED,MCPARTLAND FUELS LIMITED,STATION ROAD,KILLASHANDRA,NA,CO. CAVAN
1004126,Marked Fuel Trader's Licence                                                                        ,MCMULLEN OILS LTD,MCMULLEN OILS,BRIDGE STREET,COOTEHILL,NA,CO. CAVAN
1006015,Marked Fuel Trader's Licence                                                                        ,MCCABES GENERAL MERCHANTS LTD,MCCABES,CANNINGSTOWN,COOTEHILL,NA,CO. CAVAN
1004124,Marked Fuel Trader's Licence                                                                        ,MC MULLEN RETAIL LTD,T/A MC MULLEN'S DAYBREAK,BRIDGE STREET,COOTEHILL,NA,CO. CAVAN
1007201,Marked Fuel Trader's Licence                                                                        ,MAXOL LIMITED,MAXOL LIMITED,MAXOL SERVICE STATION,CULLIES,CAVAN,CO. CAVAN
1005633,Marked Fuel Trader's Licence                                                                        ,MAUDABAWN CO-OP CREAMERY LTD,MAUDABAWN CO-OP CREAMERY LTD,CLONRAW,MAUDABAWN,COOTEHILL,CO. CAVAN
1004628,Marked Fuel Trader's Licence                                                                        ,MATTHEW REILLY,NA,DRUMINBAWN,NEW INN,BALLYJAMESDUFF,CO. CAVAN
1011629,Marked Fuel Trader's Licence                                                                        ,MARY REILLY & SIMON REILLY,NA,KILCOGY VILLAGE,VIA LONGFORD,NA,CO. CAVAN
1004109,Marked Fuel Trader's Licence                                                                        ,MARTINS COACHES CAVAN LTD,MARTIN'S COACHES CAVAN LTD,CORRATILLION,CORLOUGH,BELTURBET,CO. CAVAN
1011955,Marked Fuel Trader's Licence                                                                        ,MARK MC NALLY,SHERCOCK SERVICE STATION,CARRICKMACROSS ROAD,SHERCOCK,NA,CO. CAVAN
1004012,Marked Fuel Trader's Licence                                                                        ,MACKS SERVICE STATION LTD,DUN A RI FILLING STATION,LOWER MAIN STREET,KINGSCOURT,NA,CO. CAVAN
1015098,Marked Fuel Trader's Licence                                                                        ,LISSAN COAL COMPANY(IRELAND) LTD,NA,GALBOLIE,BAILIEBOROUGH,NA,CO. CAVAN
